player_id,球員背號,球員姓名,球隊,出賽場次,攻擊_成功,攻擊_總數,攔網_成功,攔網_總數,發球_成功,發球_總數,接發球_成功,接發球_總數,防守_成功,防守_總數,舉球_成功,舉球_總數,得分,攻擊%,攔網%,發球%,接發球%,防守%,舉球%,攻擊%_z,攔網%_z,發球%_z,接發球%_z,防守%_z,舉球%_z,得分_z,MVP_score,MVP_rank
161,33,許甄軒,義力營造,34,378,1066,28,99,17,320,372,769,106,335,0,0,423,35.46,28.28,5.31,48.37,31.64,,0.2602705487038084,1.434329765650899,0.48508483027025984,0.6562039915060445,0.38295446753101714,,0.3922221689388932,,47
138,2,邱凡綺,義力營造,34,88,313,7,51,5,112,137,330,51,156,0,0,100,28.12,13.73,4.46,41.52,32.69,,-0.272538216457523,-0.08402376107001217,0.15412394272800894,0.2886459803844478,0.47224230396875316,,-0.5229038667614229,,47
140,4,簡翊雯,義力營造,61,328,1063,35,205,20,368,105,308,128,466,0,0,383,30.86,17.07,5.43,34.09,27.47,,-0.07364230139729859,0.2645192478130011,0.5318087202762247,-0.11003373094890495,0.028354202821150074,,0.27889386730417914,,47
142,6,陳品宇,義力營造,42,401,1200,17,121,27,433,337,604,145,420,0,0,445,33.42,14.05,6.24,55.79,34.52,,0.11218745865896974,-0.050630418901579724,0.8471949778164877,1.0543471218012637,0.6278582474745226,,0.45455273483798597,,47
143,7,吳紫華,義力營造,44,235,611,19,145,33,336,8,23,36,142,0,0,287,38.46,13.1,9.82,34.78,25.35,,0.47803979876974767,-0.14976690346411356,2.241124362994439,-0.07300963931767851,-0.15192219074837437,,0.006905943380865389,,47
53,6,翁梓勻,臺北鯨華,72,172,479,31,324,23,496,10,23,49,167,0,0,226,35.91,9.57,4.64,43.48,29.34,,0.29293593621369896,-0.5181372092596336,0.2242097777369561,0.3938158638586562,0.18737158771502332,,-0.16591971661207358,,47
48,17,劉雙菱,臺北鯨華,69,492,1461,40,250,20,477,224,594,234,588,0,0,552,33.68,16.0,4.19,37.71,39.8,,0.13106079366468434,0.1528602599373052,0.048995190214588195,0.08420860485550094,1.0768485107042816,,0.7577059417108462,,47
149,17,盧佳玟,義力營造,44,179,504,31,225,14,302,7,16,38,161,0,0,224,35.52,13.78,4.64,43.75,23.6,,0.2646259337051273,-0.07880605135619471,0.2242097777369561,0.4083035518882668,-0.30073525147793484,,-0.1715861316938093,,47
139,3,曾予柔,義力營造,44,75,265,2,30,8,127,4,13,37,104,0,0,85,28.3,6.67,6.3,30.77,35.58,,-0.25947206145356666,-0.8207643726610523,0.87055692281947,-0.2881786356092996,0.7179964442592845,,-0.5654019798744407,,47
221,18,何承樺,義力營造,22,0,0,0,0,0,0,119,242,82,189,0,0,0,,,,49.17,43.39,,,,,0.6991304745567422,1.3821278752866375,,-0.8062246208482081,,47
